"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.293885539E0,1.468759179E-1,-3.468079567E-1,-7.193756104E-2
1.301878774E0,1.278035641E-1,-3.667421341E-1,5.057477951E-2
1.309875703E0,1.177620888E-1,-3.514900208E-1,1.650919914E-1
1.317870784E0,1.861510277E-1,-3.242282867E-1,1.905050278E-1
1.325867329E0,3.860020041E-1,-3.426799774E-1,1.674695015E-1
1.333863719E0,6.816197038E-1,-4.786758423E-1,1.053175926E-1
1.341858185E0,8.255389333E-1,-5.102105141E-1,-3.319168091E-2
1.349883729E0,8.479154706E-1,-5.155615807E-1,-2.915043831E-1
1.357879119E0,7.952828407E-1,-4.150958061E-1,-4.185509682E-1
1.365876586E0,8.861945271E-1,-4.118919373E-1,-4.792027473E-1
1.373872052E0,9.755630493E-1,-4.205398560E-1,-3.794217110E-1
1.381868980E0,1.027108669E0,-5.041546822E-1,-3.841123581E-1
1.389861832E0,1.014286041E0,-5.268955231E-1,-3.417367935E-1
1.397858761E0,9.360677004E-1,-4.882178307E-1,-3.726096153E-1
1.405885227E0,7.306374311E-1,-3.133430481E-1,-3.192830086E-1
1.413878771E0,3.447158337E-1,-5.789136887E-2,-3.457226753E-1
1.421873930E0,4.399240017E-2,1.622695923E-1,-2.527756691E-1
1.429869936E0,-1.082338095E-1,3.519644737E-1,-3.473453522E-1
1.437865633E0,-8.490955830E-2,4.367251396E-1,-4.636387825E-1
1.445862869E0,8.110940456E-2,4.659166336E-1,-7.131800652E-1
1.453857566E0,2.828697562E-1,4.051785469E-1,-8.816170692E-1
1.461884418E0,4.870368242E-1,3.940162659E-1,-7.629923820E-1
1.469881346E0,6.322726011E-1,4.302105904E-1,-5.857906342E-1
1.477877582E0,7.139719129E-1,3.641381264E-1,-7.414121628E-1
1.485871126E0,7.143244147E-1,3.821654320E-1,-8.435053825E-1
1.493868055E0,3.965031505E-1,5.268855095E-1,-5.660200119E-1
1.501863214E0,-5.347800255E-2,6.355433464E-1,-1.758460999E-1
1.509857065E0,-4.767562151E-1,6.924190521E-1,2.224211693E-1
1.517884685E0,-5.529603958E-1,6.755452156E-1,3.129601479E-1
1.525878307E0,-5.699551105E-1,6.838321686E-1,1.908435822E-1
1.533875465E0,-3.545633554E-1,8.311324120E-1,2.023463249E-1
1.541869701E0,-1.120288372E-1,1.007414818E0,2.337369919E-1
1.549865706E0,1.044389009E-1,1.141537189E0,1.823930740E-1
1.557862020E0,3.405239582E-1,1.201889515E0,-5.740785599E-2
1.565856794E0,7.142249942E-1,1.069597244E0,-3.492507935E-1
1.573882645E0,9.714275002E-1,8.418736458E-1,-5.741329193E-1
1.581877958E0,7.463091016E-1,7.212395668E-1,-6.894760132E-1
